阿富汗	AF	AF	AFG	004	AFG	.af	 
 阿尔巴尼亚	AL	AL	ALB	008	ALB	.al	 
 阿尔及利亚	AG	DZ	DZA	012	DZA	.dz	 
 美属萨摩亚	AQ	AS	ASM	016	ASM	.as	 
 安道尔	AN	AD	AND	020	AND	.ad	 
 安哥拉	AO	AO	AGO	024	AGO	.ao	 
 安圭拉	AV	AI	AIA	660	AIA	.ai	 
 南极洲	AY	AQ	ATA	010	ATA	.aq	ISO定义为位于南纬60°之南
 安提瓜和巴布达	AC	AG	ATG	028	ATG	.ag	 
 阿根廷	AR	AR	ARG	032	ARG	.ar	 
 亚美尼亚	AM	AM	ARM	051	ARM	.am	 
 阿鲁巴	AA	AW	ABW	533	ABW	.aw	 
 澳大利亚	AS	AU	AUS	036	AUS	.au	ISO定义包括阿什莫尔和卡捷岛，珊瑚海群岛
 奥地利	AU	AT	AUT	040	AUT	.at	 
 阿塞拜疆	AJ	AZ	AZE	031	AZE	.az	 
 巴哈马	BF	BS	BHS	044	BHS	.bs	 
 巴林	BA	BH	BHR	048	BHR	.bh	 
 孟加拉国	BG	BD	BGD	050	BGD	.bd	 
 巴巴多斯	BB	BB	BRB	052	BRB	.bb	 
 白俄罗斯	BO	BY	BLR	112	BLR	.by	 
 比利时	BE	BE	BEL	056	BEL	.be	 
 伯利兹	BH	BZ	BLZ	084	BLZ	.bz	 
 贝宁	BN	BJ	BEN	204	BEN	.bj	 
 百慕大	BD	BM	BMU	060	BMU	.bm	 
 不丹	BT	BT	BTN	064	BTN	.bt	 
 玻利维亚	BL	BO	BOL	068	BOL	.bo	 
 波斯尼亚和黑塞哥维那	BK	BA	BIH	070	BIH	.ba	 
 博茨瓦纳	BC	BW	BWA	072	BWA	.bw	 
 布韦岛	BV	BV	BVT	074	BVT	.bv	 
 巴西	BR	BR	BRA	076	BRA	.br	 
 英属印度洋领地	IO	IO	IOT	086	IOT	.io	 
 英属维尔京群岛	VI	VG	VGB	092	VGB	.vg	 
 文莱	BX	BN	BRN	096	BRN	.bn	 
 保加利亚	BU	BG	BGR	100	BGR	.bg	 
 布基纳法索	UV	BF	BFA	854	BFA	.bf	 
 缅甸	BM	MM	MMR	104	MMR	.mm	国际标准化组织采用名称为英语：Myanmar。
 布隆迪	BY	BI	BDI	108	BDI	.bi	 
 佛得角	CV	CV	CPV	132	CPV	.cv	 
 柬埔寨	CB	KH	KHM	116	KHM	.kh	 
 喀麦隆	CM	CM	CMR	120	CMR	.cm	 
 加拿大	CA	CA	CAN	124	CAN	.ca	 
 开曼群岛	CJ	KY	CYM	136	CYM	.ky	 
 中非	CT	CF	CAF	140	CAF	.cf	 
 乍得	CD	TD	TCD	148	TCD	.td	 
 智利	CI	CL	CHL	152	CHL	.cl	 
 中国	CH	CN	CHN	156	CHN	.cn	 
 圣诞岛	KT	CX	CXR	162	CXR	.cx	 
 科科斯（基林）群岛	CK	CC	CCK	166	AUS	.cc	 
 哥伦比亚	CO	CO	COL	170	COL	.co	 
 科摩罗	CN	KM	COM	174	COM	.km	 
 刚果（金）	CG	CD	COD	180	COD	.cd	参见 扎伊尔
 刚果（布）	CF	CG	COG	178	COG	.cg	 
 库克群岛	CW	CK	COK	184	COK	.ck	 
 哥斯达黎加	CS	CR	CRI	188	CRI	.cr	 
 科特迪瓦	IV	CI	CIV	384	CIV	.ci	 
 克罗地亚	HR	HR	HRV	191	HRV	.hr	 
 古巴	CU	CU	CUB	192	CUB	.cu	 
 库拉索	UC	CW	CUW	531	不适用	.cw	 
 塞浦路斯	CY	CY	CYP	196	CYP	.cy	 
 捷克	EZ	CZ	CZE	203	CZE	.cz	 
 丹麦	DA	DK	DNK	208	DNK	.dk	 
 吉布提	DJ	DJ	DJI	262	DJI	.dj	 
 多米尼克	DO	DM	DMA	212	DMA	.dm	 
 多米尼加	DR	DO	DOM	214	DOM	.do	 
 厄瓜多尔	EC	EC	ECU	218	ECU	.ec	 
 埃及	EG	EG	EGY	818	EGY	.eg	 
 萨尔瓦多	ES	SV	SLV	222	SLV	.sv	 
 赤道几内亚	EK	GQ	GNQ	226	GNQ	.gq	 
 厄立特里亚	ER	ER	ERI	232	ERI	.er	 
 爱沙尼亚	EN	EE	EST	233	EST	.ee	 
 埃塞俄比亚	ET	ET	ETH	231	ETH	.et	 
 福克兰群岛	FK	FK	FLK	238	FLK	.fk	 
 法罗群岛	FO	FO	FRO	234	FRO	.fo	 
 斐济	FJ	FJ	FJI	242	FJI	.fj	 
 芬兰	FI	FI	FIN	246	FIN	.fi	 
 法国	FR	FR	FRA	250	FRA	.fr	ISO定义包括法国本土以及海外领土
 法国本土	FX	FX	FXX	249	不适用	不适用	ISO定义限法国本土
 法属圭亚那	FG	GF	GUF	254	GUF	.gf	 
 法属波利尼西亚	FP	PF	PYF	258	PYF	.pf	 
 法属南方和南极洲领地	FS	TF	ATF	260	ATF	.tf	 
 加蓬	GB	GA	GAB	266	GAB	.ga	 
 冈比亚	GA	GM	GMB	270	GMB	.gm	 
 巴勒斯坦	GZ	PS	PSE	275	PSE	.ps	 
 格鲁吉亚	GG	GE	GEO	268	GEO	.ge	 
 德国	GM	DE	DEU	276	DEU	.de	 
 加纳	GH	GH	GHA	288	GHA	.gh	 
 直布罗陀	GI	GI	GIB	292	GIB	.gi	 
 希腊	GR	GR	GRC	300	GRC	.gr	 
 格陵兰	GL	GL	GRL	304	GRL	.gl	 
 格林纳达	GJ	GD	GRD	308	GRD	.gd	 
 瓜德罗普	GP	GP	GLP	312	GLP	.gp	 
 关岛	GQ	GU	GUM	316	GUM	.gu	 
 危地马拉	GT	GT	GTM	320	GTM	.gt	 
 根西	GK	GG	GGY	831	不适用	.gg	 
 几内亚	GV	GN	GIN	324	GIN	.gn	 
 几内亚比绍	PU	GW	GNB	624	GNB	.gw	 
 圭亚那	GY	GY	GUY	328	GUY	.gy	 
 海地	HA	HT	HTI	332	HTI	.ht	 
 赫德岛和麦克唐纳群岛	HM	HM	HMD	334	HMD	.hm	 
 梵蒂冈	VT	VA	VAT	336	VAT	.va	 
 洪都拉斯	HO	HN	HND	340	HND	.hn	 
 香港	HK	HK	HKG	344	HKG	.hk	 
 匈牙利	HU	HU	HUN	348	HUN	.hu	 
 冰岛	IC	IS	ISL	352	ISL	.is	 
 印度	IN	IN	IND	356	IND	.in	 
 印尼	ID	ID	IDN	360	IDN	.id	 
 伊朗	IR	IR	IRN	364	IRN	.ir	 
 伊拉克	IZ	IQ	IRQ	368	IRQ	.iq	 
 爱尔兰	EI	IE	IRL	372	IRL	.ie	 
 马恩岛	IM	IM	IMN	833	不适用	.im	 
 以色列	IS	IL	ISR	376	ISR	.il	 
 意大利	IT	IT	ITA	380	ITA	.it	 
 牙买加	JM	JM	JAM	388	JAM	.jm	 
 日本	JA	JP	JPN	392	JPN	.jp	 
 泽西	JE	JE	JEY	832	不适用	.je	 
 约旦	JO	JO	JOR	400	JOR	.jo	 
 哈萨克斯坦	KZ	KZ	KAZ	398	KAZ	.kz	 
 肯尼亚	KE	KE	KEN	404	KEN	.ke	 
 基里巴斯	KR	KI	KIR	296	KIR	.ki	 
 朝鲜	KN	KP	PRK	408	PRK	.kp	 
 韩国	KS	KR	KOR	410	KOR	.kr	 
 科索沃	KV	XK	XKS	不适用	不适用	不适用	XK和XKS为ISO 3166用户分配代码， ISO 3166无代码
 科威特	KU	KW	KWT	414	KWT	.kw	 
 吉尔吉斯斯坦	KG	KG	KGZ	417	KGZ	.kg	 
 老挝	LA	LA	LAO	418	LAO	.la	 
 拉脱维亚	LG	LV	LVA	428	LVA	.lv	 
 黎巴嫩	LE	LB	LBN	422	LBN	.lb	 
 莱索托	LT	LS	LSO	426	LSO	.ls	 
 利比里亚	LI	LR	LBR	430	LBR	.lr	 
 利比亚	LY	LY	LBY	434	LBY	.ly	 
 列支敦士登	LS	LI	LIE	438	LIE	.li	 
 立陶宛	LH	LT	LTU	440	LTU	.lt	 
 卢森堡	LU	LU	LUX	442	LUX	.lu	 
 澳门	MC	MO	MAC	446	MAC	.mo	 
 马其顿	MK	MK	MKD	807	FYR	.mk	ISO名称前南斯拉夫马其顿共和国
 马达加斯加	MA	MG	MDG	450	MDG	.mg	 
 马拉维	MI	MW	MWI	454	MWI	.mw	 
 马来西亚	MY	MY	MYS	458	MYS	.my	 
 马尔代夫	MV	MV	MDV	462	MDV	.mv	 
 马里	ML	ML	MLI	466	MLI	.ml	 
 马耳他	MT	MT	MLT	470	MLT	.mt	 
 马绍尔群岛	RM	MH	MHL	584	MHL	.mh	 
 马提尼克	MB	MQ	MTQ	474	MTQ	.mq	 
 毛里塔尼亚	MR	MR	MRT	478	MRT	.mr	 
 毛里求斯	MP	MU	MUS	480	MUS	.mu	 
 马约特	MF	YT	MYT	175	FRA	.yt	 
 墨西哥	MX	MX	MEX	484	MEX	.mx	 
 密克罗尼西亚联邦	FM	FM	FSM	583	FSM	.fm	 
 摩尔多瓦	MD	MD	MDA	498	MDA	.md	 
 摩纳哥	MN	MC	MCO	492	MCO	.mc	 
 蒙古	MG	MN	MNG	496	MNG	.mn	 
 黑山	MJ	ME	MNE	499	MNE	.me	 
 蒙特塞拉特	MH	MS	MSR	500	MSR	.ms	 
 摩洛哥	MO	MA	MAR	504	MAR	.ma	 
 莫桑比克	MZ	MZ	MOZ	508	MOZ	.mz	 
 纳米比亚	WA	NA	NAM	516	NAM	.na	 
 瑙鲁	NR	NR	NRU	520	NRU	.nr	 
 尼泊尔	NP	NP	NPL	524	NPL	.np	 
 荷兰	NL	NL	NLD	528	NLD	.nl	 
  荷属安的列斯	NT	AN	ANT	不适用	ANT	.an	2010年10月其解体， ISO 2010年12月删除其代码
  新喀里多尼亚	NC	NC	NCL	540	NCL	.nc	 
 新西兰	NZ	NZ	NZL	554	NZL	.nz	 
 尼加拉瓜	NU	NI	NIC	558	NIC	.ni	 
 尼日尔	NG	NE	NER	562	NER	.ne	 
 尼日利亚	NI	NG	NGA	566	NGA	.ng	 
 纽埃	NE	NU	NIU	570	NIU	.nu	 
 诺福克岛	NF	NF	NFK	574	NFK	.nf	 
 北马里亚纳群岛	CQ	MP	MNP	580	MNP	.mp	 
 挪威	NO	NO	NOR	578	NOR	.no	 
 阿曼	MU	OM	OMN	512	OMN	.om	 
 巴基斯坦	PK	PK	PAK	586	PAK	.pk	 
 帕劳	PS	PW	PLW	585	PLW	.pw	 
 巴拿马	PM	PA	PAN	591	PAN	.pa	 
 巴布亚新几内亚	PP	PG	PNG	598	PNG	.pg	 
 巴拉圭	PA	PY	PRY	600	PRY	.py	 
 秘鲁	PE	PE	PER	604	PER	.pe	 
 菲律宾	RP	PH	PHL	608	PHL	.ph	 
 皮特凯恩群岛	PC	PN	PCN	612	PCN	.pn	 
 波兰	PL	PL	POL	616	POL	.pl	 
 葡萄牙	PO	PT	PRT	620	PRT	.pt	 
 波多黎各	RQ	PR	PRI	630	PRI	.pr	 
 卡塔尔	QA	QA	QAT	634	QAT	.qa	 
 留尼汪	RE	RE	REU	638	REU	.re	 
 罗马尼亚	RO	RO	ROU	642	ROU	.ro	 
 台湾	TW	TW	TWN	158	TWN	.tw	在ISO 3166中，国际标准化组织采用名称为“中国台湾省”（英语：Taiwan, Province of China）
 俄罗斯	RS	RU	RUS	643	RUS	.ru	 
 卢旺达	RW	RW	RWA	646	RWA	.rw	 
 圣巴泰勒米	TB	BL	BLM	652	不适用	.bl	或可使用国家地区代码顶级域.fr和.gp
 圣赫勒拿、阿森松和特里斯坦-达库尼亚	SH	SH	SHN	654	SHN	.sh	包括圣赫勒拿岛，阿森松岛和特里斯坦 - 达库尼亚群岛
 圣基茨和尼维斯	SC	KN	KNA	659	KNA	.kn	 
 圣卢西亚	ST	LC	LCA	662	LCA	.lc	 
 法属圣马丁	RN	MF	MAF	663	不适用	.mf	或可使用国家地区代码顶级域.fr和.gp
 圣文森特和格林纳丁斯	VC	VC	VCT	670	VCT	.vc	 
 萨摩亚	WS	WS	WSM	882	WSM	.ws	 
 圣马力诺	SM	SM	SMR	674	SMR	.sm	 
 圣多美和普林西比	TP	ST	STP	678	STP	.st	 
 沙特阿拉伯	SA	SA	SAU	682	SAU	.sa	 
 塞内加尔	SG	SN	SEN	686	SEN	.sn	 
 塞尔维亚	RI	RS	SRB	688	不适用	.rs	 
 塞舌尔	SE	SC	SYC	690	SYC	.sc	 
 塞拉利昂	SL	SL	SLE	694	SLE	.sl	 
 新加坡	SN	SG	SGP	702	SGP	.sg	 
 圣马丁	NN	SX	SXM	534	不适用	.sx	 
 斯洛伐克	LO	SK	SVK	703	SVK	.sk	 
 斯洛文尼亚	SI	SI	SVN	705	SVN	.si	 
 所罗门群岛	BP	SB	SLB	090	SLB	.sb	 
 索马里	SO	SO	SOM	706	SOM	.so	 
 南非	SF	ZA	ZAF	710	ZAF	.za	 
 南乔治亚和南桑威奇群岛	SX	GS	SGS	239	SGS	.gs	 
 南苏丹	OD	SS	SSD	728	SSD	.ss	 
 西班牙	SP	ES	ESP	724	ESP	.es	 
 斯里兰卡	CE	LK	LKA	144	LKA	.lk	 
 苏丹	SU	SD	SDN	729	SDN	.sd	 
 苏里南	NS	SR	SUR	740	SUR	.sr	 
 圣皮埃尔和密克隆	SB	PM	SPM	666	SPM	.pm	 
 斯威士兰	WZ	SZ	SWZ	748	SWZ	.sz	 
 瑞典	SW	SE	SWE	752	SWE	.se	 
 瑞士	SZ	CH	CHE	756	CHE	.ch	 
 叙利亚	SY	SY	SYR	760	SYR	.sy	 
 塔吉克斯坦	TI	TJ	TJK	762	TJK	.tj	 
 坦桑尼亚	TZ	TZ	TZA	834	TZA	.tz	 
 泰国	TH	TH	THA	764	THA	.th	 
 东帝汶	TT	TL	TLS	626	TLS	.tl	 
 多哥	TO	TG	TGO	768	TGO	.tg	 
 托克劳	TL	TK	TKL	772	TKL	.tk	 
 汤加	TN	TO	TON	776	TON	.to	 
 特立尼达和多巴哥	TD	TT	TTO	780	TTO	.tt	 
 突尼斯	TS	TN	TUN	788	TUN	.tn	 
 土耳其	TU	TR	TUR	792	TUR	.tr	 
 土库曼斯坦	TX	TM	TKM	795	TKM	.tm	 
 特克斯和凯科斯群岛	TK	TC	TCA	796	TCA	.tc	 
 图瓦卢	TV	TV	TUV	798	TUV	.tv	 
 乌干达	UG	UG	UGA	800	UGA	.ug	 
 乌克兰	UP	UA	UKR	804	UKR	.ua	 
 阿联酋	AE	AE	ARE	784	ARE	.ae	 
 英国	UK	GB	GBR	826	GBR	.uk	欧盟的内部通信建议使用UK来代替ISO 3166-2英国代码GB
 美国	US	US	USA	840	USA	.us	 
 美国本土外小岛屿	UM	UM	UMI	581	不适用	.um	 
 乌拉圭	UY	UY	URY	858	URY	.uy	 
 乌兹别克斯坦	UZ	UZ	UZB	860	UZB	.uz	 
 瓦努阿图	NH	VU	VUT	548	VUT	.vu	 
 委内瑞拉	VE	VE	VEN	862	VEN	.ve	 
 越南	VM	VN	VNM	704	VNM	.vn	 
 美属维尔京群岛	VQ	VI	VIR	850	VIR	.vi	 
 瓦利斯和富图纳	WF	WF	WLF	876	WLF	.wf	 
 巴勒斯坦	WE	PS	PSE	275	PSE	.ps	 
 西撒哈拉	WI	EH	ESH	732	ESH	.eh	ISO名称西撒哈拉
 联合国	UN	不适用	不适用	不适用	不适用	不适用	 
 欧盟	EU	不适用	不适用	不适用	不适用	不适用	 
非盟	AU	不适用	不适用	不适用	不适用	不适用	 
 东盟	ASEAN	不适用	不适用	不适用	不适用	不适用	 
 也门	YM	YE	YEM	887	YEM	.ye	 
 扎伊尔	ZA	ZA	ZAI	不适用	ZAI	不适用	参见 刚果（金）
 赞比亚	ZA	ZM	ZMB	894	ZMB	.zm	 
 津巴布韦	ZI	ZW	ZWE	716	ZWE	.zw	 
  罗得西亚	RH	RO	RHO	不适用	RHO	不适用	分拆为 北罗得西亚（现 赞比亚）及 津巴布韦
  西印度群岛联邦	WI	WI	WIF	不适用	WIF	不适用	 
 独联体	EN	EN	EUN	不适用	EUN	不适用	 
 澳大拉西亚	AN	AZ	ANZ	不适用	ANZ	不适用	 
 南斯拉夫	YU	YG	YUG	不适用	YUG	不适用	 
 苏联	UR	UR	URS	不适用	URS	不适用	 苏联
 达荷美	DA	DH	DAH	不适用	DAH	不适用	 
 上沃尔特	VO	VL	VOL	不适用	VOL	不适用	 
 波希米亚	BO	BO	BOH	不适用	BOH	不适用	 
 捷克斯洛伐克	TC	TC	TCH	不适用	TCH	不适用	 
 阿拉伯联合共和国	UA	UA	UAR	不适用	UAR	不适用	 
  塞尔维亚和黑山	SC	SG	SCG	不适用	SCG	不适用	